salary
"59,147.29"
"61,379.14"
"55,683.19"
"56,272.76"
"52,055.88"
"47,696.74"
"60,577.53"
"49,793.44"
"35,562.29"
"58,586.76"
"47,091.37"
"36,906.96"
"53,479.66"
"67,834.74"
"53,018.80"
"60,375.11"
"36,566.91"
"52,905.58"
"51,063.31"
"65,431.26"
"57,071.83"
"30,060.59"
"42,619.62"
"52,984.77"
"57,871.28"
"41,274.37"
"24,497.78"
"47,939.82"
"42,755.52"
"57,189.35"
"37,216.45"
"44,742.99"
"47,119.04"
"59,269.48"
"53,336.80"
"39,719.54"
"69,473.20"
"39,831.55"
"58,300.70"
"41,726.66"
"40,283.35"
"59,652.40"
"40,326.61"
"28,167.31"
"51,420.36"
"55,294.22"
"48,116.14"
"36,780.47"
"53,628.89"
"48,782.09"
"33,615.77"
"41,881.34"
"64,745.33"
"53,482.58"
"48,838.54"
"57,031.73"
"62,821.03"
"60,627.78"
"46,568.52"
"38,977.05"
"43,250.62"
"67,502.50"
"54,696.18"
"43,003.14"
"29,156.83"
"61,230.07"
"56,749.93"
"48,373.77"
"52,428.26"
"29,961.91"
"54,524.28"
"83,017.28"
"49,290.55"
"56,375.66"
"64,032.27"
"52,947.60"
"61,210.22"
"54,438.94"
"48,825.68"
"54,118.71"
"45,305.73"
"42,361.59"
"52,852.52"
"62,933.52"
"64,330.23"
"48,922.74"
"27,211.96"
"62,409.65"
"28,981.92"
"64,913.67"
"55,766.00"
"50,748.04"
"43,990.34"
"61,828.33"
"45,434.02"
"45,369.16"
"54,710.71"
"62,222.43"
"44,764.32"
"50,973.48"
